0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026","As of March 31, 2026"
,,,,,,,,,,,,,,,,,,,,,"Gross Amounts Not Offset in the Consolidated Balance Sheets, but Have Legal Rights to Offset","Gross Amounts Not Offset in the Consolidated Balance Sheets, but Have Legal Rights to Offset","Gross Amounts Not Offset in the Consolidated Balance Sheets, but Have Legal Rights to Offset","Gross Amounts Not Offset in the Consolidated Balance Sheets, but Have Legal Rights to Offset","Gross Amounts Not Offset in the Consolidated Balance Sheets, but Have Legal Rights to Offset","Gross Amounts Not Offset in the Consolidated Balance Sheets, but Have Legal Rights to Offset","Gross Amounts Not Offset in the Consolidated Balance Sheets, but Have Legal Rights to Offset","Gross Amounts Not Offset in the Consolidated Balance Sheets, but Have Legal Rights to Offset","Gross Amounts Not Offset in the Consolidated Balance Sheets, but Have Legal Rights to Offset",,,,,,
,,,Gross Amounts Recognized,Gross Amounts Recognized,Gross Amounts Recognized,,,,Gross Amounts Offset in the Consolidated Balance Sheets,Gross Amounts Offset in the Consolidated Balance Sheets,Gross Amounts Offset in the Consolidated Balance Sheets,,,,Net Amounts Presented in the Consolidated Balance Sheets,Net Amounts Presented in the Consolidated Balance Sheets,Net Amounts Presented in the Consolidated Balance Sheets,,,,Financial Instruments(1),Financial Instruments(1),Financial Instruments(1),,,,Cash and Non-Cash Collateral Received or Pledged,Cash and Non-Cash Collateral Received or Pledged,Cash and Non-Cash Collateral Received or Pledged,,,,Net Amounts,Net Amounts,Net Amounts
Derivatives assets(1),Derivatives assets(1),Derivatives assets(1),$,1725,,,,,$,(115),,,,,$,1610,,,,,$,(470),,,,,$,(696),,,,,$,444,
Derivatives liabilities,Derivatives liabilities,Derivatives liabilities,$,1005,,,,,$,(115),,,,,$,890,,,,,$,(470),,,,,$,(18),,,,,$,402,
