0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended
,,,"March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,","March 31,"
,,,2025,2025,2025,,,,2026,2026,2026
Interest income,Interest income,Interest income,$,1001,,,,,$,1381,
Interest expense,Interest expense,Interest expense,(34),(34),,,,,(533),(533),
"Foreign currency exchange gain (loss), net","Foreign currency exchange gain (loss), net","Foreign currency exchange gain (loss), net",(106),(106),,,,,146,146,
"Gain (loss) on debt securities, net","Gain (loss) on debt securities, net","Gain (loss) on debt securities, net",202,202,,,,,(111),(111),
"Gain (loss) on equity securities, net","Gain (loss) on equity securities, net","Gain (loss) on equity securities, net",9758,9758,,,,,36915,36915,
"Income (loss) and impairment from equity method investments, net","Income (loss) and impairment from equity method investments, net","Income (loss) and impairment from equity method investments, net",(22),(22),,,,,60,60,
Other,Other,Other,384,384,,,,,(142),(142),
"Other income (expense), net","Other income (expense), net","Other income (expense), net",$,11183,,,,,$,37716,
,,,,,,,,,,,
